序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
130,300550,和仁科技,0.15,406010685.8,-7.567763159,36.4346,39296818.3,0.46,151.3953,4.230233216,3.59,0.030457615,46.2795851,软件开发,2025/4/24
131,300537,广信材料,-0.1602,518231486.3,1.626631327,5.0194,-32069205.77,-564.96,-935.5083,3.753810558,-4.22,-0.185699157,38.02457407,电子化学品,2025/4/24
132,300498,温氏股份,1.3924,1.04924E+11,16.68490964,2.9419,9230418857,244.46,-44.4591,6.035749447,24.59,2.943544482,17.3062387,农牧饲渔,2025/4/24
133,300474,景嘉微,-0.35,466342383,-34.61709415,-72.2621,-165119475.6,-376.67,-1738.4596,13.52862571,-4.16,0.118962342,43.70403168,电子元件,2025/4/24
134,300461,田中精机,-0.99,226063376.3,-13.03483424,-60.61,-153554416,-1654.86,-744.9812,3.355140336,-25.59,-0.254378136,38.55991687,专用设备,2025/4/24
135,300449,汉邦高科,-0.16,147818856.5,11.11851951,159.8422,-62151158.64,51.2,-60.949,0.940150116,-15.892024,-0.244884193,15.35367172,计算机设备,2025/4/24
136,300442,润泽科技,1.04,4364829477,0.322726297,-29.7454,1790336174,1.62,-49.4544,5.789041861,19.5,1.216646085,48.92966796,互联网服务,2025/4/24
137,300438,鹏辉能源,-0.5,7960507262,14.82921628,23.3509,-252455728.3,-685.72,-1762.5782,10.10752084,-4.8,-0.485599862,12.7949542,电池,2025/4/24
138,300430,诚益通,0.36,958124442,-18.49293503,7.3715,96548437.45,-43.23,-110.4124,8.174679326,4.05,0.846045328,41.46708887,通用设备,2025/4/24
139,300411,金盾股份,0.03,522220688.8,7.518263474,123.394,12531806.83,21.73,-204.3085,2.338391033,1.33,0.038301448,21.24811541,专用设备,2025/4/24
140,300408,三环集团,1.14,7374990821,28.78281682,2.0906,2190449376,38.55,1.6305,10.36582745,11.5,1.253913719,42.98482779,电子元件,2025/4/24
141,300333,兆日科技,-0.1432,128040549.4,-11.41362471,-38.5388,-48116988.65,29.83,-3637.3161,1.745321345,-7.88,0.015450612,56.96956831,软件开发,2025/4/24
142,300331,苏大维格,-0.22,1840603908,6.845859718,-3.7951,-58049979.94,-27.06,-2001.1716,6.011701925,-3.63,0.788004351,18.21684489,光学光电子,2025/4/24
143,300299,富春股份,-0.198,287566165.2,-13.19690524,19.4077,-136884927.2,-1691.44,-949.2278,0.634629655,-26.88,-0.002786222,29.07278002,游戏,2025/4/24
144,300296,利亚德,-0.35,7149676055,-6.110622466,-8.094,-889307916.1,-411.26,-2112.0903,2.952978664,-11.27,0.249513935,28.09746505,光学光电子,2025/4/24
145,300291,百纳千成,-0.4174,738556036.8,71.10600504,-82.8698,-393119343.7,-111.45,-1280.8997,3.331697011,-11.66,-0.078417474,-6.083371429,文化传媒,2025/4/24
146,300252,金信诺,0.02,2136944125,6.940130682,-1.2771,12514218.37,103.83,193.9639,3.265664296,0.58,0.063937297,17.71995448,通信设备,2025/4/24
147,300248,新开普,0.2314,984199544.7,-7.273326875,79.6136,110209601.8,2.51,236.1423,4.544470363,5.11,0.570852505,58.85583801,互联网服务,2025/4/24
148,300239,东宝生物,0.1448,884932215.9,-9.1922913,33.3534,85982726.28,-28.28,31.9928,2.888179599,5.07,0.116459393,22.72183107,生物制品,2025/4/24
149,300231,银信科技,-0.2816,1609728713,-18.55520733,20.269,-117992735.2,-211.2,-1710.6506,3.612852258,-7.86,0.827242681,22.07533751,互联网服务,2025/4/24
150,300219,鸿利智汇,0.11,4225110823,12.38917105,3.0869,81349155.41,-61.6,-185.1614,3.648604344,3.15,0.763391948,18.61691786,光学光电子,2025/4/24
151,300217,东方电热,0.22,3711181458,-9.619427933,11.092,317754927.1,-50.62,-42.8357,2.787245732,7.96,0.18414325,23.35335885,家电行业,2025/4/24
152,300206,理邦仪器,0.2797,1834376592,-5.346383834,-1.6749,162109421.9,-26.75,-120.9152,3.452554269,8.24,0.638381805,57.91861694,医疗器械,2025/4/24
153,300194,福安药业,0.24,2391468105,-9.679333878,-29.538,279837280.9,20.69,-125.5723,3.694905793,6.58,0.255176259,52.95787205,化学制药,2025/4/24
154,300168,万达信息,-0.48,2011374719,-18.18936249,73.3757,-685617528.9,23.7,34.4458,1.137637035,-34.56,-0.025319434,19.10245312,互联网服务,2025/4/24
155,300155,安居宝,-0.09,206832394.5,-42.69943509,-7.2759,-51764077.37,-32.1,-1126.1336,2.24121355,-4.03,0.03941156,42.35474933,计算机设备,2025/4/24
156,300148,天舟文化,0.04,460890509,2.903385056,524.1731,32801183.72,154.83,526.4253,1.121271096,3.49,-0.0456928,28.34077143,游戏,2025/4/24
157,300137,ST先河,-0.28,952512775.5,-1.441860096,70.8948,-152413565.9,-23.23,-1088.0671,3.031770709,-8.95,-0.114324332,36.95627372,环保行业,2025/4/24
158,300131,英唐智控,0.05,5346374020,7.828631082,-9.3678,60274977.13,9.84,33.4528,1.535822152,3.47,0.363765068,8.233265248,消费电子,2025/4/24
159,300125,ST聆达,-3.55,61151347.41,-92.71053341,-8.7404,-949512491.7,-262.42,5.4449,-2.008503325,,-0.037202866,-144.083263,光伏设备,2025/4/24
160,300044,赛为智能,-0.6641,143282608.3,-68.02964387,-175.1031,-507315796,-215.55,-3460.4775,0.160289143,-133.13,-0.05066122,10.27197309,互联网服务,2025/4/24
